Smiles,Tg/℃
O=C(N1C2=CC=C(SC3=CC=C(N4C(C5=CC=C(O[*])C=C5C4=O)=O)C=C3)C=C2)C6=CC([*])=CC=C6C1=O,269
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(SC8=CC=CC(O[*])=C8)C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C9=C([*])C=CC=C9C1=O,230
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(S(C8=CC=CC(O[*])=C8)(=O)=O)C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C9=C([*])C=CC=C9C1=O,216
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(OC8=CC=CC(O[*])=C8)C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C9=C([*])C=CC=C9C1=O,198
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(O[*])C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C8=C([*])C=CC=C8C1=O,214
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(C8=CC=C(O[*])C=C8)C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C9=C([*])C=CC=C9C1=O,224
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=CC(OC7=CC=C(C(C)(C)C8=CC=CC(O[*])=C8)C=C7)=C6C5=O)=O)C=C4)=C3)C=C2)C9=C([*])C=CC=C9C1=O,202
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C(OC7=CC=CC(O[*])=C7)C=C6C5=O)=O)C=C4)=C3)C=C2)C8=CC([*])=CC=C8C1=O,188
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C(OC7=CC=C(SC8=CC=CC(O[*])=C8)C=C7)C=C6C5=O)=O)C=C4)=C3)C=C2)C9=CC([*])=CC=C9C1=O,219
O=C(N1C2=CC=C(OC3=CC=CC(OC4=CC=C(N5C(C6=CC=C(OC7=CC=C(S(C8=CC=CC(O[*])=C8)(=O)=O)C=C7)C=C6C5=O)=O)C=C4)=C3)C=C2)C9=CC([*])=CC=C9C1=O,194
